comparison,W,p_value,effect_size_r,n_hospitals
centralized vs fedavg,1978.0,0.04295853372031027,0.20140676406673116,101
centralized vs fedprox,1969.0,0.03991749536083612,0.20444050611961911,101
fedavg vs fedprox,1717.0,0.1835745714160434,0.13232294543567338,101
