hospitalid,auroc,auprc,n
63,0.5597826086956521,0.11029240130181275,100
66,0.7031963470319634,0.09114959114959115,76
73,0.7512354651162791,0.20307583765674922,683
79,0.5198966408268734,0.10793264530889199,144
110,0.7514044943820225,0.39543190407914297,194
122,0.7314727954971858,0.3515640542472681,367
141,0.807977736549165,0.3539321947797527,168
142,0.7325581395348837,0.36022767081447093,205
143,0.4925373134328358,0.10279304029304029,73
144,0.5751633986928105,0.15785242982823627,77
146,0.7530864197530864,0.1865079365079365,87
148,0.8177156177156177,0.37621188914846526,158
152,0.7532467532467532,0.5446204879109797,95
154,0.6583333333333333,0.38956087088109564,92
157,0.7105691056910569,0.3259032837895968,97
165,0.6696127946127947,0.38790072413297977,150
167,0.7424554183813443,0.4083969599327422,279
171,0.8033794162826421,0.47400293450713615,100
176,0.7189249720044792,0.39820278241950596,207
181,0.7096273291925466,0.4601067132686135,106
183,0.6934837092731829,0.3391003916090939,211
184,0.7985725614591594,0.42803856501959875,110
188,0.7185344266562541,0.36016046154156567,433
195,0.7564935064935066,0.18509154066968359,162
197,0.7485080988917305,0.21628873798412002,224
198,0.6375968992248062,0.16704980842911876,92
199,0.7406873842354393,0.3818707128343228,382
202,0.7248484848484849,0.3432902187842899,86
206,0.628482972136223,0.3535611694464094,104
207,0.7175141242937854,0.10774283188076292,62
208,0.6266298247128917,0.2871000740285467,350
210,0.7844611528822055,0.5452085181898847,64
215,0.7714285714285714,0.29298082869511444,72
217,0.7433090024330901,0.2823650551079428,155
220,0.7211703958691911,0.32766629427919747,90
224,0.6696428571428571,0.1710597728500542,62
226,0.8108974358974359,0.4713921560973268,133
227,0.786231884057971,0.33224602600437453,152
243,0.6830192949697279,0.33002443091225925,454
244,0.8132586367880486,0.21705086518038014,128
248,0.6898839137645109,0.34441416390455915,216
252,0.7175879951450955,0.30217201711433156,395
256,0.6623931623931624,0.4298245614035088,81
259,0.7321428571428572,0.4706044712271391,78
264,0.6999475375434455,0.19968787499138144,649
268,0.6497175141242938,0.38284931115757925,68
269,0.7454954954954954,0.15519057260585395,80
271,0.8087719298245614,0.29449994449994454,101
272,0.6720720720720721,0.13638569604086848,116
275,0.888135593220339,0.38712121212121214,64
277,0.8567567567567568,0.3149285127241362,158
279,0.9191919191919192,0.33164983164983164,69
280,0.6599763872491144,0.09307105554817455,128
281,0.7571231617647058,0.23097688149148987,288
282,0.7415730337078652,0.3989671147565884,94
283,0.716824644549763,0.3304417046782217,227
300,0.6515216767154751,0.17411565282280234,423
301,0.8080357142857143,0.23281946749991864,103
307,0.6942571495001163,0.2981089873899716,210
310,0.7490566037735849,0.11024050024050022,111
318,0.6526984126984127,0.286093829456189,120
331,0.5610955056179776,0.07094391935723918,186
336,0.6861888111888111,0.18535258122214643,115
338,0.6940421523607677,0.18607531456004708,485
345,0.76758535582065,0.2882018376364096,200
353,0.6537313432835821,0.31635103083378946,72
357,0.66796875,0.10928009064573405,68
365,0.622564935064935,0.09921116541863673,183
382,0.7780797101449275,0.30319602642117854,146
384,0.7430610626486915,0.5009820256782254,110
387,0.8055555555555555,0.648989898989899,72
388,0.6710046850598648,0.2633012785882814,130
390,0.8293333333333334,0.45821755613860327,146
391,0.7347222222222222,0.407152476233489,111
392,0.6496138996138996,0.3282326228372371,88
394,0.7435619409053944,0.2866004368894443,234
396,0.6871794871794872,0.17763113792525556,71
400,0.7656725502130249,0.5125446361719668,190
403,0.7838044308632545,0.35637633120881207,130
407,0.6818181818181819,0.19596607096607097,83
411,0.7720488466757123,0.3228653684930088,223
413,0.5208791208791208,0.0631826884429671,223
416,0.7963398692810457,0.31590449713366314,242
417,0.6782361308677098,0.31316994603170156,204
420,0.7740995076444674,0.456708656356053,522
421,0.7508771929824561,0.5681536388140161,67
435,0.7434895833333333,0.30569377236593037,160
440,0.6027501909854851,0.1460127126243333,130
443,0.554429202511044,0.15509152755914324,446
444,0.864677307425399,0.4663785623723991,142
449,0.7491325022490682,0.22641277714141483,282
452,0.6623376623376623,0.3552295889384899,94
458,0.7086516336861481,0.286892542432942,463
459,0.7690058479532164,0.2532738095238095,63
