aggregator,f1_at_0.5,best_threshold,best_f1,accuracy_at_best_threshold
fedavg,0.1688161693936477,0.56,0.3112107623318386,0.8454883814505583
fedprox,0.16870368588201326,0.56,0.31029047511821667,0.8459410522080274
