setting,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
centralized,0.8843386369033484,0.0019050664274661282,0.38983366966193467,0.00667842205666674,0.39384808537350907,0.009990835747561965,0.3917303898432823,0.0047782463616794935,0.80798612281627,0.002461724534522167,0.37398910739771696,0.00309552140021688
fedavg,0.8931014010923771,0.0008485724946263299,0.4175986516491654,0.005548413515186184,0.33019460138104206,0.004043973235004754,0.36878810430052805,0.004664940750677369,0.8034322304531871,0.0011190767121617264,0.3592332890962009,0.003584364039360953
fedprox,0.8930182854428876,0.0008172583648739109,0.4168739406541938,0.005285071918091206,0.32893910860012554,0.0036603590049248593,0.3677216737990112,0.0043064201978639145,0.8024993699280131,0.0011622893665697701,0.3581399789436962,0.003572196329395336
