comparison,W,p_value,effect_size_r,n_hospitals,p_value_holm,significant_holm
LR vs MLP,1819.0,0.11892978797640825,0.16082759826509102,94,0.2378595759528165,False
LR vs CNN_light,183.0,1.0879532037650713e-14,0.7971362428524834,94,4.351812815060285e-14,True
LR vs CNN_heavy,197.0,1.644700299439706e-14,0.791704468398553,94,4.934100898319118e-14,True
MLP vs CNN_light,83.0,5.247561615197336e-16,0.8381216276349537,94,3.1485369691184016e-15,True
MLP vs CNN_heavy,96.0,7.84448177472117e-16,0.8294070767476764,94,3.922240887360585e-15,True
CNN_light vs CNN_heavy,1830.0,0.12906453821621294,0.15654923410326266,94,0.2378595759528165,False
