comparison,W,p_value,effect_size_r,n_hospitals
unweighted vs class_weighted,2242.0,0.3305304748161958,0.0968216888869406,101
unweighted vs focal,2164.0,0.16331382939130945,0.13870942830704577,101
class_weighted vs focal,2493.0,0.7798764631794729,0.027809302151473352,101
