hospitalid,auroc,auprc,n
63,0.75,0.298108976677379,114
66,0.8352059925093633,0.14,92
73,0.8705479624455686,0.3882350339319875,830
79,0.8385067114093959,0.4048193431433338,165
92,0.5859649122807018,0.16658983524313475,62
110,0.755573462261617,0.2629831207028761,236
122,0.8086101159754691,0.32035285185874346,426
140,0.8189655172413794,0.31760507642860586,64
141,0.858695652173913,0.347371264197203,201
142,0.8166539343009931,0.46173584896240866,222
143,0.6208791208791209,0.14868515543600538,85
144,0.915954415954416,0.5457929497403182,87
146,0.74512987012987,0.18351818988464952,95
148,0.8151515151515151,0.44401935955017935,183
152,0.8709677419354838,0.653626602156014,104
154,0.8496905393457117,0.5396254460515306,100
157,0.7543966040024257,0.44926161168684475,114
165,0.8038277511961723,0.5448170120823309,162
167,0.8279477647507387,0.41827364687322754,308
171,0.84375,0.298289654270439,112
176,0.8892523364485981,0.6357794868194998,234
180,0.9655172413793103,0.7361111111111112,62
181,0.8214285714285714,0.5101480662194947,120
183,0.7965909090909091,0.301202209046547,244
184,0.854054054054054,0.5321944171760891,126
188,0.7680931403398363,0.3655839304269343,496
195,0.80625,0.34238932495466445,169
197,0.8724431165249367,0.40343209531746027,248
198,0.6684981684981686,0.10417613492905116,97
199,0.8467448720587226,0.5308215536008662,382
202,0.8351515151515152,0.5008822525425941,86
206,0.8637770897832817,0.6717621920153984,104
207,0.8992537313432836,0.4853238866396761,71
208,0.7422700211254081,0.24722373228467417,422
210,0.8739495798319328,0.5899600915080792,75
215,0.8708414872798436,0.6373135218999881,80
217,0.8657450076804916,0.45441730221300797,176
220,0.768860353130016,0.16819363721806987,96
224,0.8364389233954452,0.3871187363834423,76
226,0.8266488413547237,0.5089434063379076,149
227,0.8257383966244727,0.29095714598825423,173
243,0.77437173216394,0.3915508800181346,533
244,0.714,0.23746773575526653,160
245,0.825,0.2209714404836356,84
248,0.9424497071555895,0.5671480591895817,248
252,0.797423939595825,0.44502875384608154,452
256,0.75,0.38584111839925794,105
259,0.7169082125603865,0.4413758321752471,84
264,0.7792184265010351,0.3022026056376997,746
268,0.8280060882800608,0.44532645789420855,82
269,0.8655303030303031,0.29407667949334615,94
271,0.8764478764478765,0.2839030158211263,118
272,0.8020541549953314,0.12530946906699617,160
275,0.7552238805970151,0.3902964959568734,72
277,0.8740842490842491,0.3621681631763568,194
279,0.868131868131868,0.37665665665665665,96
280,0.9054054054054054,0.3022813522813523,155
281,0.7967660114140773,0.2609373139562486,351
282,0.8320754716981131,0.31686507936507935,111
283,0.7347452296078842,0.19544708255929927,270
300,0.8375242823224692,0.41588862508811186,493
301,0.8647959183673469,0.4984848484848485,119
307,0.741244019138756,0.3916653242597603,234
310,0.7939849624060151,0.14142992809659477,138
312,0.9222222222222223,0.7522946945527591,64
318,0.7393591582974652,0.2528411915487693,140
331,0.8994708994708995,0.27693201859868527,219
336,0.7487065779748706,0.3389585325220847,134
337,0.7442622950819673,0.1965891472868217,66
338,0.7541610954861911,0.2524587355745602,570
345,0.7086049543676662,0.10896769156322611,249
353,0.6666666666666666,0.20585247629083248,83
357,0.86,0.5685714285714285,75
365,0.7469793887704335,0.21374678564938768,208
382,0.8478114478114478,0.41004992516630756,174
384,0.7449933244325768,0.3410422374760228,121
386,0.8442307692307692,0.676402448126586,62
387,0.8478664192949907,0.4255964623611682,84
388,0.8495212038303693,0.6095126119883525,146
390,0.8779576587795765,0.5355668692257929,168
391,0.8874239350912779,0.576227286277341,133
392,0.7888888888888889,0.451533599563952,105
394,0.8151927437641723,0.20119798535987693,263
396,0.5174216027874564,0.0869230274058567,89
400,0.7739864864864865,0.38951721615848584,217
403,0.8910761154855643,0.6852258133811533,139
407,0.6672268907563025,0.27657291375261195,92
411,0.7179535232383807,0.3130089694122785,255
413,0.8199404761904762,0.2615194045548251,239
416,0.8754662246166598,0.3080105256311654,273
417,0.8526785714285714,0.541781928362352,245
420,0.869885433715221,0.5287036261056729,642
421,0.8924455825864277,0.6774192668929511,82
435,0.778125,0.3067841990872912,178
440,0.8982142857142857,0.46396950465255415,152
443,0.7344215918648215,0.3285624964357385,509
444,0.89760348583878,0.5277039555408878,165
449,0.7902901785714286,0.3253961875836384,312
452,0.7713152676801057,0.47708127140290923,106
458,0.8460730540319756,0.4831623175507765,508
459,0.8010752688172043,0.33518089053803335,68
