config,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
unweighted,0.9147268886429938,0.00022096250514524066,0.6031868290523654,0.008124300214046773,0.14231200897867563,0.005044266005442025,0.23023202119535818,0.006215121956902298,0.8166659876853248,0.000981158391629615,0.3721165286802104,0.0015322078011887196
class_weighted,0.7507896589880294,0.002933296849199675,0.22358019845161548,0.0015320854314258422,0.7199775533108866,0.005736545538793723,0.3411950933502145,0.0014963158247462865,0.8188332930285049,0.0011932671963316114,0.35944342142745916,0.004068127565233
focal,0.8966200583442309,0.0030856964402797902,0.41331258116318487,0.013353965607460548,0.36217732884399556,0.013703285464579886,0.38570699539873055,0.0036757724947196414,0.8147890383267915,0.0016361777258370063,0.36292794748857,0.003995723765925151
