comparison,W,p_value,effect_size_r,n_hospitals
LR vs MLP,2037.0,0.06811543974964449,0.18151889949779876,101
LR vs CNN_light,283.0,8.09031754617879e-15,0.772913149172893,101
LR vs CNN_heavy,375.0,9.021299992970328e-14,0.7417590813435009,101
MLP vs CNN_light,182.0,5.132930587031243e-16,0.8085563414958568,101
MLP vs CNN_heavy,278.0,7.077127064028684e-15,0.7743967100892771,101
CNN_light vs CNN_heavy,2136.0,0.13652257151459934,0.14814773691603064,101
