model,n_params,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
LR,392,0.9147268886429938,0.00022096250514524066,0.6031868290523654,0.008124300214046773,0.14231200897867563,0.005044266005442025,0.23023202119535818,0.006215121956902298,0.8166659876853248,0.000981158391629615,0.3721165286802104,0.0015322078011887196
MLP,27201,0.916899708278845,0.00047900889048624134,0.6308543686526688,0.024115932792857748,0.17800224466891135,0.01513279801632607,0.2770994013579303,0.016480813454662933,0.8315059837168493,0.0013861517229113607,0.4021849371579987,0.004999771902519521
CNN_light,593,0.9112262347852329,0.0003538690091406504,0.734064375340971,0.024314362132696346,0.014702581369248036,0.005755726781125964,0.028766174085427504,0.01115117838078332,0.6909575497144559,0.00147945325139857,0.20321029112839825,0.007668019170847517
CNN_heavy,8513,0.9114978372397143,5.734711925859062e-05,0.7058260869565217,0.043446413456809406,0.022109988776655445,0.0034501517730503696,0.04282928852057527,0.0063729792081571816,0.692358951702414,0.0006101424549085147,0.20714710362418498,0.0004762991196613503
