feature,coefficient,abs_coefficient,train_n_positive,direction
vit_systemicsystolic_h4,-0.028455151,0.028455151,,decreases risk
vit_respiration_min_h7,0.02814516,0.02814516,,increases risk
vit_sao2_h19,0.027874846,0.027874846,,increases risk
vit_respiration_h23,0.027842257,0.027842257,,increases risk
vit_heartrate_min_h23,0.027553396,0.027553396,,increases risk
vit_respiration_min_h17,0.027474357,0.027474357,,increases risk
lab_potassium_b2,0.027385421,0.027385421,,increases risk
vit_sao2_min_h7,-0.027036954,0.027036954,,decreases risk
lab_albumin_b1,-0.026905343,0.026905343,,decreases risk
vit_sao2_h23,-0.026852319,0.026852319,,decreases risk
vit_systemicmean_h14,-0.026740797,0.026740797,,decreases risk
vit_heartrate_h11,0.026581498,0.026581498,,increases risk
vit_respiration_h4,0.026533302,0.026533302,,increases risk
vit_heartrate_h6,0.026329216,0.026329216,,increases risk
vit_respiration_min_h21,0.026045753,0.026045753,,increases risk
vit_systemicdiastolic_h13,-0.025929257,0.025929257,,decreases risk
vit_systemicsystolic_h23,0.025865037,0.025865037,,increases risk
vit_systemicdiastolic_h8,0.025594193,0.025594193,,increases risk
vit_heartrate_max_h11,-0.025541395,0.025541395,,decreases risk
vit_systemicmean_h6,0.02545338,0.02545338,,increases risk
lab_platelets x 1000_b1,-0.025387064,0.025387064,,decreases risk
vit_temperature_h18,0.025262717,0.025262717,,increases risk
vit_heartrate_max_h2,-0.02517571,0.02517571,,decreases risk
vit_systemicdiastolic_h9,0.024951948,0.024951948,,increases risk
vit_systemicdiastolic_h1,0.024945911,0.024945911,,increases risk
vit_sao2_h15,0.024637789,0.024637789,,increases risk
vit_respiration_max_h1,0.024257168,0.024257168,,increases risk
vit_systemicmean_h19,0.024189252,0.024189252,,increases risk
vit_sao2_h7,0.023953574,0.023953574,,increases risk
vit_respiration_max_h12,-0.02391812,0.02391812,,decreases risk
vit_heartrate_h5,-0.023881331,0.023881331,,decreases risk
vit_temperature_h23,-0.023821797,0.023821797,,decreases risk
vit_systemicsystolic_h12,0.023798782,0.023798782,,increases risk
lab_sodium_b0,-0.023749406,0.023749406,,decreases risk
vit_sao2_min_h15,-0.023682395,0.023682395,,decreases risk
lab_albumin_b2,-0.023662891,0.023662891,,decreases risk
vit_systemicdiastolic_h12,-0.023617886,0.023617886,,decreases risk
vit_sao2_min_h0,-0.023276461,0.023276461,,decreases risk
vit_heartrate_max_h5,0.023193529,0.023193529,,increases risk
vit_heartrate_min_h14,-0.023130944,0.023130944,,decreases risk
vit_temperature_h7,-0.023120802,0.023120802,,decreases risk
lab_total bilirubin_b0,-0.022700273,0.022700273,,decreases risk
lab_glucose_b2,0.022544585,0.022544585,,increases risk
vit_sao2_h5,0.022451127,0.022451127,,increases risk
vit_temperature_h15,-0.022338811,0.022338811,,decreases risk
vit_heartrate_min_h9,0.022158042,0.022158042,,increases risk
vit_respiration_min_h8,0.021899978,0.021899978,,increases risk
vit_systemicsystolic_h18,-0.021503862,0.021503862,,decreases risk
vit_sao2_max_h23,-0.021302858,0.021302858,,decreases risk
vit_respiration_max_h16,-0.021273574,0.021273574,,decreases risk
vit_systemicsystolic_h9,0.02115618,0.02115618,,increases risk
vit_heartrate_max_h7,0.020714305,0.020714305,,increases risk
vit_systemicdiastolic_h20,-0.020687554,0.020687554,,decreases risk
vit_respiration_h1,-0.020488868,0.020488868,,decreases risk
vit_heartrate_min_h4,0.020457333,0.020457333,,increases risk
vit_respiration_max_h7,-0.020433776,0.020433776,,decreases risk
vit_systemicmean_h16,-0.020382706,0.020382706,,decreases risk
vit_sao2_min_h3,-0.020363113,0.020363113,,decreases risk
vit_systemicdiastolic_h7,-0.019811131,0.019811131,,decreases risk
vit_heartrate_h13,0.019769844,0.019769844,,increases risk
vit_systemicmean_h20,-0.019763278,0.019763278,,decreases risk
vit_sao2_max_h1,-0.019749906,0.019749906,,decreases risk
vit_systemicdiastolic_h5,-0.019624941,0.019624941,,decreases risk
dx_Unknown,-0.019260343,0.019260343,1404.0,decreases risk
vit_temperature_h6,-0.019252297,0.019252297,,decreases risk
vit_sao2_h18,-0.019147119,0.019147119,,decreases risk
vit_respiration_min_h11,-0.019067513,0.019067513,,decreases risk
vit_heartrate_min_h2,-0.019053001,0.019053001,,decreases risk
vit_heartrate_max_h14,-0.018996766,0.018996766,,decreases risk
vit_systemicmean_h9,-0.01887538,0.01887538,,decreases risk
vit_respiration_h9,0.01871748,0.01871748,,increases risk
vit_heartrate_max_h0,0.01860168,0.01860168,,increases risk
vit_systemicmean_h8,0.01856973,0.01856973,,increases risk
lab_Hct_b0,0.018430868,0.018430868,,increases risk
vit_respiration_max_h13,0.01840625,0.01840625,,increases risk
vit_systemicmean_h11,0.018380856,0.018380856,,increases risk
lab_WBC x 1000_b0,-0.018283654,0.018283654,,decreases risk
vit_sao2_min_h4,0.018009773,0.018009773,,increases risk
lab_-bands_b1,0.017933752,0.017933752,,increases risk
vit_heartrate_min_h12,-0.017828662,0.017828662,,decreases risk
vit_systemicsystolic_h16,-0.017826408,0.017826408,,decreases risk
vit_sao2_min_h19,-0.01772641,0.01772641,,decreases risk
vit_temperature_h20,0.01748637,0.01748637,,increases risk
vit_systemicmean_h5,-0.017351981,0.017351981,,decreases risk
vit_respiration_min_h6,-0.01720702,0.01720702,,decreases risk
vit_heartrate_h16,0.017070856,0.017070856,,increases risk
vit_systemicmean_h0,-0.017048357,0.017048357,,decreases risk
vit_heartrate_h8,-0.01699683,0.01699683,,decreases risk
vit_heartrate_min_h15,0.016805446,0.016805446,,increases risk
vit_sao2_h3,0.016804464,0.016804464,,increases risk
vit_sao2_h21,-0.01653869,0.01653869,,decreases risk
vit_sao2_max_h6,0.01645645,0.01645645,,increases risk
vit_temperature_h5,0.016347744,0.016347744,,increases risk
vit_heartrate_max_h13,-0.016334409,0.016334409,,decreases risk
vit_systemicdiastolic_h15,0.01632643,0.01632643,,increases risk
vit_systemicdiastolic_h3,-0.016154688,0.016154688,,decreases risk
vit_heartrate_h23,-0.016137106,0.016137106,,decreases risk
vit_respiration_min_h12,0.015937138,0.015937138,,increases risk
vit_heartrate_h4,0.015830606,0.015830606,,increases risk
vit_sao2_max_h3,-0.01564494,0.01564494,,decreases risk
vit_sao2_min_h5,-0.015629008,0.015629008,,decreases risk
vit_sao2_h12,0.015507038,0.015507038,,increases risk
vit_heartrate_max_h23,0.015474506,0.015474506,,increases risk
lab_chloride_b2,-0.015447839,0.015447839,,decreases risk
vit_respiration_max_h11,-0.015425237,0.015425237,,decreases risk
lab_potassium_b1,-0.015011849,0.015011849,,decreases risk
vit_heartrate_h17,-0.014948737,0.014948737,,decreases risk
vit_respiration_min_h22,-0.014804975,0.014804975,,decreases risk
vit_sao2_min_h9,-0.014500972,0.014500972,,decreases risk
vit_sao2_min_h23,-0.014298936,0.014298936,,decreases risk
vit_heartrate_h18,0.014021342,0.014021342,,increases risk
lab_Hct_b1,-0.013875057,0.013875057,,decreases risk
vit_systemicmean_h17,0.013724764,0.013724764,,increases risk
vit_sao2_min_h12,-0.013653852,0.013653852,,decreases risk
vit_respiration_max_h18,-0.013600523,0.013600523,,decreases risk
vit_heartrate_min_h20,0.013454414,0.013454414,,increases risk
lab_lactate_b2,0.013349953,0.013349953,,increases risk
vit_respiration_max_h22,-0.013291495,0.013291495,,decreases risk
vit_temperature_h2,-0.013285963,0.013285963,,decreases risk
vit_systemicsystolic_h5,0.013242239,0.013242239,,increases risk
vit_respiration_min_h5,-0.013056551,0.013056551,,decreases risk
vit_respiration_min_h19,0.012860243,0.012860243,,increases risk
vit_respiration_min_h23,0.012853675,0.012853675,,increases risk
vit_respiration_min_h10,0.0125913,0.0125913,,increases risk
lab_Hgb_b0,0.012424246,0.012424246,,increases risk
vit_sao2_max_h0,0.012423064,0.012423064,,increases risk
vit_heartrate_min_h5,-0.012383411,0.012383411,,decreases risk
