comparison,W,p_value,effect_size_r,n_hospitals,p_value_holm,significant_holm
unweighted vs class_weighted,1531.0,0.008161597392468993,0.2728429508656868,94,0.024484792177406976,True
unweighted vs focal,1663.0,0.03174974376112442,0.22150258092374678,94,0.06349948752224883,False
class_weighted vs focal,2028.0,0.5461921030326913,0.062243792727240566,94,0.5461921030326913,False
