hospitalid,auroc,auprc,n
63,0.7606132075471699,0.33417924893534645,114
66,0.8277153558052435,0.1276803118908382,92
73,0.8626192453875003,0.37909470901823933,830
79,0.8322147651006712,0.40900984707077054,165
92,0.5789473684210527,0.19356410256410256,62
110,0.754767660488853,0.25092609872780053,236
122,0.8013844192118526,0.3163848728132059,426
140,0.8160919540229885,0.2890382521961469,64
141,0.8507033248081841,0.3388524082111536,201
142,0.8140565317035905,0.4577761077609375,222
143,0.6318681318681318,0.1577873904485069,85
144,0.9145299145299146,0.539959114959115,87
146,0.737012987012987,0.16644923648319232,95
148,0.8080808080808081,0.4417601355698297,183
152,0.8651026392961876,0.659946943560389,104
154,0.8470380194518126,0.5441857951491718,100
157,0.7410551849605822,0.44345575552074457,114
165,0.7931542142068457,0.5434421252660995,162
167,0.8229911352587933,0.41542985421939155,308
171,0.8365384615384615,0.2957118597768199,112
176,0.8934579439252337,0.6442558072966005,234
180,0.9612068965517241,0.740909090909091,62
181,0.8119946091644205,0.48808916932866514,120
183,0.7884469696969697,0.28775836735784766,244
184,0.851051051051051,0.5230401688297307,126
188,0.7602265575833858,0.35104241428816796,496
195,0.795138888888889,0.33639585073795597,169
197,0.8627901631808781,0.4094044228068775,248
198,0.6794871794871795,0.11125470100751703,97
199,0.8316526034163408,0.5028869316382334,382
202,0.833939393939394,0.5007724822424235,86
206,0.8600619195046441,0.6692530482499314,104
207,0.8656716417910448,0.4601449275362319,71
208,0.7386210869982716,0.23745603395709214,422
210,0.8760504201680672,0.5911139455782313,75
215,0.8767123287671232,0.6394957983193278,80
217,0.8614439324116743,0.46463071697768543,176
220,0.754414125200642,0.15571341955781315,96
224,0.834368530020704,0.37282895209365796,76
226,0.8302139037433155,0.5101398249990341,149
227,0.8227848101265822,0.263459535565709,173
243,0.7752572103221453,0.3928277722230708,533
244,0.7146666666666667,0.2780307134221567,160
245,0.83125,0.26324786324786326,84
248,0.9358288770053476,0.540499893301038,248
252,0.7948922940262046,0.4470740161313438,452
256,0.738,0.38447766703580655,105
259,0.7053140096618358,0.4401668704790508,84
264,0.7699534161490683,0.29155153595390376,746
268,0.8325722983257229,0.4482217404032812,82
269,0.8579545454545455,0.28630632360471064,94
271,0.8712998712998713,0.29144240886749206,118
272,0.7955182072829132,0.12439558254380867,160
275,0.7253731343283583,0.3808203266787659,72
277,0.8731684981684982,0.352843023557092,194
279,0.8571428571428571,0.3721222410865874,96
280,0.8976833976833977,0.2787864912864913,155
281,0.7932783766645529,0.25411554353391846,351
282,0.8433962264150943,0.32632478632478634,111
283,0.735164604738939,0.192793050935001,270
300,0.8296460176991151,0.39901580057806324,493
301,0.8698979591836734,0.4631785265425818,119
307,0.7370334928229665,0.385063843531255,234
310,0.7879699248120301,0.13293712504616378,138
312,0.9074074074074074,0.7257329281457914,64
318,0.732185557149689,0.247906557663343,140
331,0.897883597883598,0.25240320864216237,219
336,0.7464892830746489,0.3360579034492077,134
337,0.7508196721311475,0.20694412564180006,66
338,0.7451703628567476,0.25543636142553794,570
345,0.7001303780964798,0.10643150299944819,249
353,0.6512820512820512,0.21106705118961788,83
357,0.8685714285714285,0.5738562091503268,75
365,0.7370291400142146,0.20862069512868697,208
382,0.8471380471380471,0.40399937752878934,174
384,0.7269692923898532,0.3316728780306546,121
386,0.8346153846153846,0.6665601627523857,62
387,0.8348794063079776,0.4074561403508772,84
388,0.8622891016871865,0.6371316032492318,146
390,0.8720423412204235,0.5244493789715158,168
391,0.8772819472616633,0.5867776500090683,133
392,0.7733333333333333,0.43154405623611625,105
394,0.808843537414966,0.19267283084963774,263
396,0.5139372822299652,0.0863170344863263,89
400,0.7621621621621621,0.3562025756104311,217
403,0.8838582677165354,0.6720749172444903,139
407,0.6521008403361345,0.2530251672042717,92
411,0.7080209895052473,0.28249360671123147,255
413,0.8101190476190476,0.2398138609342838,239
416,0.8640696228760878,0.2994402635156875,273
417,0.8560799319727892,0.5807678795449324,245
420,0.8690898345153665,0.5180579259267886,642
421,0.8681177976952624,0.6513050140161072,82
435,0.7743055555555556,0.30702273691355164,178
440,0.8970238095238094,0.39459325396825395,152
443,0.7260876213777812,0.3215543172816788,509
444,0.8790849673202614,0.5005596098088357,165
449,0.7904017857142858,0.3320197636229764,312
452,0.7752808988764045,0.47492132247489505,106
458,0.8443225580581165,0.4919124089364671,508
459,0.7876344086021505,0.3159021768257121,68
