hospitalid,auroc,auprc,n
63,0.7771739130434783,0.2087096550125862,100
66,0.812785388127854,0.12632275132275134,76
73,0.8232921511627906,0.3509679922256005,683
79,0.7395348837209302,0.2166992770211161,144
110,0.795997191011236,0.3292184619702655,194
122,0.8287210756722951,0.42668352325356607,367
141,0.7736549165120594,0.38124334296672163,168
142,0.8261099365750529,0.5294040840719967,205
143,0.6741293532338308,0.12936648567275855,73
144,0.7467320261437909,0.23621964645668284,77
146,0.7839506172839507,0.36354159443404294,87
148,0.8428904428904429,0.41962706875583655,158
152,0.9080086580086579,0.6079775014483807,95
154,0.803125,0.5176974498457875,92
157,0.7642276422764228,0.46262418667470245,97
165,0.7786195286195287,0.5650261896171435,150
167,0.8284179240969364,0.5389076857382817,279
171,0.8602150537634408,0.41458315767778686,100
176,0.7648376259798433,0.4051237942412048,207
181,0.8625776397515528,0.6137319997076095,106
183,0.7734335839598997,0.453398043465875,211
184,0.831086439333862,0.5074074123703547,110
188,0.8570219966159053,0.5142075905713075,433
195,0.9066558441558441,0.29539473684210527,162
197,0.8314862176754759,0.36903223287059167,224
198,0.4903100775193798,0.0831788743422479,92
199,0.8317898058585442,0.530605312516062,382
202,0.8424242424242425,0.5295450004540914,86
206,0.7975232198142415,0.5865578141544208,104
207,0.943502824858757,0.7435897435897436,62
208,0.6987306795613505,0.3080175752870037,350
210,0.8521303258145363,0.505249776678348,64
215,0.8945054945054944,0.7720408163265307,72
217,0.8665855636658557,0.45326574550619847,155
220,0.901893287435456,0.5291620144561321,90
224,0.7678571428571428,0.21224747474747474,62
226,0.8178418803418803,0.4206853031735074,133
227,0.8607660455486542,0.5659032332615229,152
243,0.8094268092570588,0.3375063780106025,454
244,0.8216619981325863,0.29124571743497574,128
248,0.7950248756218906,0.4938076284158449,216
252,0.7911839346794659,0.3705030816161232,395
256,0.8461538461538461,0.24696969696969698,81
259,0.7232142857142857,0.505693413729128,78
264,0.7602793625811528,0.22990793751056524,649
268,0.856873822975518,0.5387034998108718,68
269,0.8333333333333334,0.4151132556705312,80
271,0.9192982456140352,0.43841269841269837,101
272,0.8738738738738738,0.2615605658709107,116
275,0.823728813559322,0.5993650793650793,64
277,0.9256756756756757,0.6549572649572649,158
279,0.7676767676767676,0.1603641456582633,69
280,0.8878394332939787,0.315706234184495,128
281,0.8460477941176471,0.18611305650885038,288
282,0.8247191011235955,0.6517482517482518,94
283,0.7968009478672986,0.2470223948897422,227
300,0.7407407407407406,0.24050742344560985,423
301,0.9360119047619048,0.610642313351673,103
307,0.7512206463613114,0.43305050492263164,210
310,0.6981132075471699,0.08625862663906142,111
318,0.7079365079365079,0.2871233623718411,120
331,0.6467696629213482,0.12759462350268186,186
336,0.8627622377622377,0.4234739141541721,115
338,0.7416107382550335,0.19585418959966777,485
345,0.7338543809132044,0.2645535880341868,200
353,0.7134328358208955,0.2298693379790941,72
357,0.75390625,0.152218782249742,68
365,0.7094155844155843,0.25072583542939275,183
382,0.8079710144927537,0.3850516843497155,146
384,0.7486122125297383,0.5116520079091671,110
387,0.744949494949495,0.5403957561795896,72
388,0.8224882873503384,0.4104910112812084,130
390,0.8918095238095238,0.49607998611266996,146
391,0.7944444444444445,0.45377474176354143,111
392,0.777992277992278,0.501977165718356,88
394,0.8598536188669016,0.354401346543326,234
396,0.7974358974358975,0.20568444750133558,71
400,0.8113207547169812,0.6130032970681984,190
403,0.8640183346065698,0.5055412471304392,130
407,0.8766233766233766,0.5097041847041847,83
411,0.8109452736318408,0.3789933759194645,223
413,0.7128205128205128,0.1279385888480816,223
416,0.8562091503267973,0.3129544247662429,242
417,0.7624466571834992,0.33516064009940805,204
420,0.8499287380150298,0.5945662148126614,522
421,0.8052631578947369,0.6275793650793651,67
435,0.7183159722222222,0.2780283091661987,160
440,0.8059587471352178,0.3534931295412662,130
443,0.6696117182050686,0.24025620328037578,446
444,0.8549618320610688,0.3566091556463119,142
449,0.7898727669965301,0.37752398143275084,282
452,0.80061115355233,0.493532661174368,94
458,0.8472158306488725,0.5038905981297138,463
459,0.8596491228070176,0.5151222651222651,63
