comparison,mean_gap,ci_low,ci_high,n,equivalent_within_margin
unweighted - class_weighted,0.007864348705704044,0.002610276515965665,0.013274859430660566,94,True
unweighted - focal,0.0059709644643265196,-0.0014913858231756975,0.012983220681874635,94,True
class_weighted - focal,-0.0018933842413775238,-0.009673949966972,0.005781993795805558,94,True
centralized - fedavg,0.019647140033078655,0.00800616560082326,0.03177569219282077,94,False
centralized - fedprox,0.02213540594920671,0.010539717606548437,0.03427810986540924,94,False
fedavg - fedprox,0.0024882659161280496,0.0010670356151869875,0.0041788069217263005,94,True
