comparison,W,p_value,effect_size_r,n_hospitals,p_value_holm,significant_holm
fedavg vs fedprox @ byzantine_sign_flip_sev0.05,1848.0,0.4221331722197976,0.08279485611898295,94,1.0,False
fedavg vs fedprox @ input_noise_sev0.1,1253.5,0.017770074331925276,0.24448546487336187,94,0.6041825272854594,False
fedavg vs fedprox @ byzantine_scaled_replacement_sev0.1,1230.0,0.0015747680671947119,0.3259848437890872,94,0.0642584791161165,False
fedavg vs fedprox @ byzantine_scaled_replacement_sev0.2,851.0,5.1261476598810896e-05,0.41770495168308047,94,0.0027168582597369775,True
byzantine_sign_flip_sev0.05_fedavg vs byzantine_random_norm_matched_sev0.05_fedavg,1349.0,0.0008634186931683563,0.34363043063411625,94,0.03799042249940768,True
byzantine_scaled_replacement_sev0.05_fedavg vs byzantine_random_norm_matched_sev0.05_fedavg,2100.0,0.617322374541298,0.05153484104020449,94,1.0,False
byzantine_sign_flip_sev0.05_fedprox vs byzantine_random_norm_matched_sev0.05_fedprox,1556.0,0.010740286387758783,0.2631193959524402,94,0.39739059634707496,False
byzantine_scaled_replacement_sev0.05_fedprox vs byzantine_random_norm_matched_sev0.05_fedprox,2060.0,0.5153782117102909,0.06709252890139833,94,1.0,False
byzantine_sign_flip_sev0.1_fedavg vs byzantine_random_norm_matched_sev0.1_fedavg,1653.0,0.058433239952704656,0.1951896166711804,94,1.0,False
byzantine_scaled_replacement_sev0.1_fedavg vs byzantine_random_norm_matched_sev0.1_fedavg,2231.0,0.9954868684358247,0.0005834132947947693,94,1.0,False
byzantine_sign_flip_sev0.1_fedprox vs byzantine_random_norm_matched_sev0.1_fedprox,1592.0,0.01572296440694414,0.24911747687736596,94,0.5660267186499891,False
byzantine_scaled_replacement_sev0.1_fedprox vs byzantine_random_norm_matched_sev0.1_fedprox,2226.0,0.9804449503767018,0.002528124277444008,94,1.0,False
byzantine_sign_flip_sev0.2_fedavg vs byzantine_random_norm_matched_sev0.2_fedavg,622.0,2.0894452892572745e-09,0.6178931424531465,94,1.2745616264469375e-07,True
byzantine_scaled_replacement_sev0.2_fedavg vs byzantine_random_norm_matched_sev0.2_fedavg,669.0,3.727437191595246e-09,0.6081111240178819,94,2.199187943041195e-07,True
byzantine_sign_flip_sev0.2_fedprox vs byzantine_random_norm_matched_sev0.2_fedprox,597.0,6.943806105119117e-10,0.6361149637745116,94,4.374597846225044e-08,True
byzantine_scaled_replacement_sev0.2_fedprox vs byzantine_random_norm_matched_sev0.2_fedprox,666.0,3.4803688170876358e-09,0.6092779505470678,94,2.0882212902525816e-07,True
