mu,W,p_value,effect_size_r,n
0.001,334.0,0.002043264466164624,0.3180769657064012,94
0.01,998.0,0.0002783341358664507,0.3748878288015751,94
0.1,1344.0,0.0008067300187857312,0.34557514161676756,94
