hospitalid,auroc,auprc,n
63,0.7622282608695652,0.19830184139871904,100
66,0.7762557077625571,0.10458937198067633,76
73,0.8230014534883721,0.3406843918745909,683
79,0.7364341085271319,0.21591206009867533,144
110,0.7833567415730337,0.3134183152495467,194
122,0.827157598499062,0.4229681617959798,367
141,0.7555658627087198,0.358893251918412,168
142,0.833861874559549,0.5256087671543229,205
143,0.6791044776119404,0.13059498371998374,73
144,0.7532679738562091,0.23064079886205327,77
146,0.7757201646090535,0.32496449456975773,87
148,0.8312354312354313,0.4085704709550542,158
152,0.882034632034632,0.5331295608568336,95
154,0.7749999999999999,0.46640702134123185,92
157,0.7756097560975609,0.47598212038579985,97
165,0.7731481481481481,0.5366460133072684,150
167,0.8196159122085048,0.5172626037182078,279
171,0.880184331797235,0.45257803121248497,100
176,0.7681970884658454,0.4075182390328297,207
181,0.8633540372670808,0.6073092960211363,106
183,0.7764411027568923,0.45381877361326817,211
184,0.8342585249801745,0.521376415607185,110
188,0.8564362879083691,0.5182433526598184,433
195,0.9131493506493507,0.3331557478063689,162
197,0.8195510088093209,0.35697534485582966,224
198,0.5251937984496124,0.09148922441605369,92
199,0.8385127255265143,0.5254538999250326,382
202,0.8424242424242425,0.5081704608600894,86
206,0.7919504643962848,0.5724815685355363,104
207,0.9491525423728813,0.75,62
208,0.6912183749244453,0.30313398953061954,350
210,0.8646616541353384,0.5420824789245842,64
215,0.9164835164835163,0.8081632653061224,72
217,0.8613138686131386,0.4236801990281677,155
220,0.8950086058519793,0.5209068242681687,90
224,0.7589285714285714,0.20765392015392015,62
226,0.8226495726495726,0.42786298575949366,133
227,0.8576604554865425,0.5340037553949073,152
243,0.8065410513212244,0.3451108185275347,454
244,0.8123249299719888,0.26749084249084254,128
248,0.7933665008291875,0.5244584083601168,216
252,0.7965905329361139,0.3613889436505067,395
256,0.858974358974359,0.25,81
259,0.6908482142857142,0.4811166238876333,78
264,0.7591645353793691,0.22860624395209544,649
268,0.847457627118644,0.5316215441366681,68
269,0.8175675675675675,0.324173451056836,80
271,0.9140350877192982,0.4160830999066293,101
272,0.8684684684684685,0.24250321750321752,116
275,0.8033898305084746,0.5270748299319727,64
277,0.9283783783783783,0.5570282984988867,158
279,0.7979797979797979,0.1989247311827957,69
280,0.8866587957497047,0.2891847753594191,128
281,0.8366268382352942,0.17887538083296387,288
282,0.8224719101123596,0.6017482517482518,94
283,0.7982819905213271,0.23042458245112932,227
300,0.7489951191501579,0.2447007935233097,423
301,0.9315476190476191,0.6018398268398268,103
307,0.7368053940943966,0.4212468820098569,210
310,0.6924528301886792,0.08602521639286345,111
318,0.7022222222222222,0.3060075447449002,120
331,0.6720505617977528,0.13158903933276372,186
336,0.8566433566433567,0.4253992494111071,115
338,0.7346638408100788,0.20557013729464252,485
345,0.735088440970794,0.256659829148214,200
353,0.7223880597014924,0.23140977443609023,72
357,0.73828125,0.14291982922201138,68
365,0.6818181818181818,0.2534160682010144,183
382,0.8206521739130435,0.43332729487589383,146
384,0.7494052339413164,0.5006387793360882,110
387,0.7424242424242424,0.4849178403755869,72
388,0.8438313378448724,0.4109786339578371,130
390,0.8895238095238095,0.49192742578606896,146
391,0.7979166666666666,0.4549378977200747,111
392,0.7808880308880309,0.561314151026401,88
394,0.8549742477636215,0.3561275263524137,234
396,0.7794871794871796,0.20724460724460725,71
400,0.8096977074457293,0.606045739937153,190
403,0.8510313216195569,0.48212663415643725,130
407,0.8809523809523809,0.5148809523809523,83
411,0.804161013116237,0.36864889921561345,223
413,0.7040293040293041,0.12602090773597227,223
416,0.8564705882352941,0.3050358547571448,242
417,0.7422475106685632,0.32648170786403186,204
420,0.8463008551438196,0.578257357972056,522
421,0.8070175438596491,0.6357090182643946,67
435,0.7061631944444444,0.23879902630680427,160
440,0.8074866310160428,0.388501672853349,130
443,0.6731457800511509,0.23980961768679032,446
444,0.8521859819569744,0.34626955110458235,142
449,0.7792057576147025,0.36617056114997026,282
452,0.799083269671505,0.48942551689322267,94
458,0.8518637827887713,0.5296736119803757,463
459,0.868421052631579,0.5625097125097125,63
